Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Axial_200mil,2,10pF C0G,
C10,C_Axial_200mil,1,2.2uF,
"C11, C5",C_Axial_200mil,2,0.01uF,
"C12, C17, C4, C6, C7, C8",C_Axial_200mil,6,0.1uF,
"C13, C15, C18, C3, C9",C_Axial_200mil,5,1uF,
C14,C_Axial_200mil,1,10uF,
"C16, C19",C_Axial_200mil,2,4.7uF,
D1,LED_D5.0mm,1,Heartbeat,
D2,LED_D5.0mm,1,Mode,
D3,LED_D5.0mm,1,Extra,
"H1, H2, H3, H4",MountingHole_4_40,4,~,
IC1,TO254P470X1028X1955-3P,1,LM2937ET-3.3_NOPB,
IC2,ti_LM4041CILPR,1,LM4041CILPR,
"IC3, IC4",DIP-8_W7.62mm_LongPads,2,TLV5616,
J1,PinHeader_1x05_P2.54mm_Vertical,1,JTAG,
J10,PinHeader_1x03_P2.54mm_Vertical,1,DAC_L,
J11,PinHeader_1x03_P2.54mm_Vertical,1,DAC_R,
J12,PinHeader_1x03_P2.54mm_Vertical,1,Power,
J13,PinHeader_1x02_P2.54mm_Vertical,1,Power,
J14,PinHeader_1x03_P2.54mm_Vertical,1,buttons,
J15,PinHeader_1x03_P2.54mm_Vertical,1,Header3,
J18,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"J2, J5",PinHeader_1x04_P2.54mm_Vertical,2,Header_4,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
J4,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,1,AudioJack to 32ohm,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Trigger,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Calibration,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Extra,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Reset,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1M,
"R10, R11, R12",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,220,
"R2, R4, R6, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,10k,
"R3, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,20k,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,8k,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,2k,
U1,QFP50P1200X1200X160-64N,1,TM4C123GH6PMIR,
"U3, U5",DIP-8_W7.62mm_LongPads,2,MCP34119P,
U6,adafruit_st7735r2,1,Adafruit ST7735R,
Y1,ABM3,1,ABM3-16.000MHZ-B2-T,
