Designator,Mid X,Mid Y,Rotation,Layer
C1,58.91075,-72.45425,270.0,top
C10,74.14875,-81.5955,270.0,top
C11,82.535,-72.42375,90.0,top
C12,148.115,-48.74375,90.0,bottom
C13,155.949905,-51.124175,0.0,bottom
C14,97.858451,-67.525,0.0,bottom
C15,97.861372,-62.445,0.0,bottom
C16,155.949905,-55.124175,0.0,bottom
C17,148.915,-68.64375,90.0,bottom
C18,155.34375,-71.185,0.0,bottom
C19,155.32375,-75.62,0.0,bottom
C2,58.78075,-64.84175,90.0,top
C3,52.44375,-75.065,180.0,top
C4,73.8,-55.2,90.0,top
C5,65.9,-55.22,90.0,top
C6,82.47,-64.7675,90.0,top
C7,65.54875,-81.5555,270.0,top
C8,69.88375,-81.5555,270.0,top
C9,69.8,-55.2,90.0,top
D1,56.115,-43.545,0.0,top
D2,66.815,-43.545,0.0,top
D3,77.375,-43.535,0.0,top
IC1,104.45,-65.05,270.0,bottom
IC2,128.09,-64.934097,0.0,bottom
IC3,136.05,-48.7,180.0,bottom
IC4,141.582922,-69.980019,180.0,bottom
J1,54.4875,-82.3,270.0,top
J10,128.79218,-49.915806,180.0,top
J11,98.0,-78.025,0.0,top
J12,109.432371,-64.772779,0.0,bottom
J13,114.640206,-62.263313,270.0,top
J14,93.485,-49.5,90.0,top
J15,75.485,-49.5,90.0,top
J18,200.5,-63.625,0.0,top
J2,42.7,-46.5,180.0,top
J3,120.3,-63.51,180.0,bottom
J5,198.96,-45.2,90.0,top
J6,89.1,-43.9,180.0,top
J7,93.5,-43.9,180.0,top
J8,97.8,-43.9,180.0,top
J9,43.965,-57.86,180.0,top
R1,48.3,-63.9,90.0,top
R10,60.63,-43.825,90.0,top
R11,71.33,-43.825,90.0,top
R12,82.03,-43.725,90.0,top
R2,40.465,-57.26,270.0,top
R3,155.466155,-46.189175,180.0,bottom
R4,166.466155,-45.6,180.0,bottom
R5,155.28375,-66.185,180.0,bottom
R6,165.28375,-66.185,180.0,bottom
R7,128.05,-69.75,180.0,bottom
R8,128.15,-60.65,0.0,bottom
R9,128.24,-57.1,180.0,bottom
U1,70.08375,-68.648,180.0,top
U3,165.24875,-73.325,180.0,bottom
U5,166.475,-52.5,180.0,bottom
U6,170.4,-64.89,90.0,top
Y1,54.08375,-68.648,270.0,top
